Trial values;Aciertos;Fallos;Recompensa minima;Recompensa maxima;Puntuación maxima;Tiempo de respuesta min;Tiempo de respuesta maximo;Tiempo total de la prueba;Distancia al jugador de los objetos.;Numero de piezas;Ratio de aparición de los objetos en el juego.;Ratio de recompensa de los objetos.;Tamaño de los objetos.
15;8;8;0.140876022;0.364209355;-0.893333333;128.1;612.9992139;8624.215199;0.488225052;15.83233592;0.7;0.597542689;0.465975197
16;34;25;0.001;0.175993384;-1.390947072;104.4;613.4283955;32978.89593;0.405559338;58.9024055;0.6;0.359326717;0.625093126
17;26;19;0.194989548;0.418322882;0.024926838;140.4;646.959852;24124.02297;0.643204739;44.50164106;0.9;0.651656215;0.56193956
18;3;34;0.001;0.038510849;-1.250102604;70.8;368.6289676;17478.42146;0.737643033;36.99167878;0.4;0.271844183;0.449173587
19;8;30;0.144659619;0.367992952;-8.989178284;160.8;621.9068908;20032.36413;0.696417766;38.11317054;0.8;0.601326286;0.205767145
20;17;4;0.631112908;0.781112908;8.879467807;174;761.6594524;13062.6185;0.625244939;21.37317909;1;0.947779575;0.717033637
21;0;25;0.001;0.235520208;-5.888005196;111;581.8659682;33997.53162;0.878229028;25.33670702;0.1;0.452186875;0.60723412
22;18;31;0.015553015;0.165553015;-3.502189198;37.8;625.6137155;42167.52041;0.55194666;49.25064705;0.2;0.332219682;0.857973082
23;26;4;0.067669331;0.284335998;3.438725282;147;505.202744;13782.80226;0.479175329;30.26702179;1;0.467669331;0.696476574
24;28;5;0.176224567;0.399557901;6.063165049;151.2;787.9072308;21207.37415;0.307825501;33.25778583;0.9;0.632891234;0.570309223
25;2;36;0.04997875;0.273312083;-9.515944169;63.9;345.3518519;20642.41508;0.643175434;38.4079708;0.3;0.506645417;0.413492512
26;15;15;0.139630728;0.362964062;-1.675;117.6;620.8637986;16214.60605;0.427603666;29.97560615;0.7;0.596297395;0.42449374
27;14;29;0.25429856;0.470965227;-8.581145069;62.4;231.7776338;17388.80716;0.623643256;43.24502872;0.4;0.65429856;0.68139781
28;18;10;0.195236609;0.345236609;1.411892874;100.8;458.6226993;13165.33488;0.421808606;27.71421609;0.6;0.511903276;0.714302288
29;24;10;0.07855096;0.22855096;1.399713441;184.8;985.1445625;26371.1955;0.681177745;34.422914;0.8;0.395217627;0.854938649
30;27;1;0.042507382;0.209174048;3.188525258;148.8;836.1823626;19386.05572;0.201137333;27.81813737;0.8;0.325840715;0.773738892
31;6;27;0.037549781;0.260883114;-6.148545398;51.3;361.9331011;18096.39324;0.578452698;33.18138675;0.3;0.494216448;0.526318672
32;0;26;0.26366676;0.487000094;-12.66200244;54.9;316.763848;13362.11239;0.598154313;25.59144708;0.3;0.720333427;0.254328854
33;0;32;0.082285893;0.305619226;-9.779815241;109.5;444.1565549;41299.58938;0.666453213;32.4410845;0.1;0.53895256;0.563470232
34;9;34;0.117162223;0.340495557;-9.517388918;72;385.2335333;20915.02046;0.429728968;43.05804709;0.4;0.57382889;0.32458659
35;0;34;0.189833484;0.413166818;-14.0476718;87;660.2919785;46988.30327;0.513341603;34.28433964;0.1;0.646500151;0.388754539
36;11;25;0.310235938;0.533569271;-8.698303129;59.4;191.5058413;16663.9423;0.320621987;35.99598489;0.3;0.766902604;0.439571607
37;22;14;0.001;0.121335403;-0.353006209;134.4;909.6249229;25222.34295;0.399574226;35.56692638;0.8;0.354668736;0.483561573
38;2;42;0.094864142;0.351530809;-14.31789903;54;301.8236138;22695.3198;0.829162114;44.43193317;0.3;0.618197476;0.595164765
39;11;23;0.179087972;0.402421305;-6.057388992;85.5;363.4797268;14755.272;0.49763779;33.93709762;0.5;0.635754638;0.457154527
40;26;6;0.3650842;0.588417534;8.865017339;207;837.2747889;21729.3248;0.362175607;32.41635115;1;0.821750867;0.47096167
41;13;34;0.004906504;0.228239838;-6.244703258;130.2;759.2986131;28594.51463;0.559142093;47.27549381;0.7;0.461573171;0.249890398
42;13;23;0.169284021;0.392617354;-5.377840211;78;435.7654094;18746.43904;0.365351166;35.87197151;0.4;0.625950688;0.46335921
43;6;28;0.001;0.163632495;-4.087812378;78;458.490375;17875.27045;0.70939886;33.97186519;0.4;0.396965828;0.57531663
44;14;17;0.117827828;0.341161161;-2.586816818;82.8;291.7469625;13908.79831;0.301889061;31.18249281;0.4;0.574494495;0.524544581
45;0;43;0.357733079;0.581066412;-24.98585573;97.5;666.3650905;59429.33767;0.6398574;43.00623822;0.1;0.814399746;0.523681172
46;10;16;0.043843219;0.267176552;-2.71972598;117.6;824.0269112;16827.12329;0.481529965;26.33217861;0.7;0.500509886;0.32783453
47;9;7;0.037934873;0.261268206;-0.482463588;174;378.3759167;6125.356652;0.561444337;15.54726412;1;0.494601539;0.351312127
48;0;38;0.001;0.03801686;-1.444640668;56.7;380.933834;20973.45833;0.762676098;37.97524646;0.3;0.304683526;0.21698733
49;10;28;0.157926468;0.374593134;-7.82600975;47.7;303.2898918;19525.57377;0.537662656;37.6833854;0.3;0.557926468;0.624397344
50;16;8;0.310262675;0.550262675;2.482101404;122.4;485.7476482;11927.15723;0.253658105;24.00366092;0.6;0.733596009;0.561333128
51;18;19;0.258237331;0.481570664;-2.491570664;119.7;750.5702356;22677.68985;0.565274488;36.86173723;0.7;0.714903997;0.551811878
52;24;21;0.088408777;0.311742111;-1.744773668;134.4;725.7160951;27337.99551;0.538636413;44.60900558;0.7;0.545075444;0.581688421
53;18;5;0.227326412;0.377326412;3.555243354;128.1;314.0569655;8717.345102;0.347390261;23.30598778;0.7;0.543993079;0.756233441
54;5;33;0.001;0.203301001;-6.198180522;75.6;351.9487682;17729.47634;0.634092088;37.80892705;0.4;0.436634334;0.41308542
55;8;10;0.001;0.211639994;-1.265839967;134.4;211.8601629;5749.642753;0.575070335;18.26720787;0.7;0.444973328;0.52504139
56;18;23;0.006862726;0.230196059;-3.160980297;91.8;609.6311113;22313.04919;0.561276038;41.10726844;0.6;0.463529393;0.56604469
57;12;19;0.091437897;0.31477123;-3.543398612;67.2;305.0462966;13863.42798;0.335960318;31.10864377;0.4;0.548104564;0.477377634
58;19;9;0.26702134;0.490354673;2.781880068;237;1025.594816;22157.85524;0.448374954;28.33765135;1;0.723688007;0.400600649
59;32;7;0.001;0.001;0.025;148.5;1040.17551;30870.43236;0.239693293;39.25942094;0.9;0.091075327;0.489702404
60;44;20;0.013308069;0.163308069;0.61939365;195;797.3896385;41035.08782;0.745109835;63.94476379;1;0.329974735;0.706154636
61;7;20;0.001;0.185371781;-3.055134381;68.4;470.321312;14356.37322;0.445308752;27.02357744;0.4;0.418705114;0.388912839
62;12;17;0.268406402;0.491739735;-3.798698675;108;539.627683;14761.5278;0.444563678;28.72970921;0.6;0.725073068;0.441199723
63;9;33;0.087517958;0.344184624;-9.415430981;134.4;499.8088194;19697.04893;0.940583404;42.19641162;0.7;0.610851291;0.538167329
64;8;22;0.351254657;0.567921323;-8.817565195;88.8;330.5216917;14112.05958;0.675635133;30.46413005;0.4;0.751254657;0.630865995
65;8;10;0.042059491;0.265392824;-1.424118981;115.2;472.4722466;7900.284882;0.524442723;18.40033933;0.8;0.498726157;0.35789102
66;25;14;0.314702737;0.53803607;3.126730105;189;1036.807592;30169.8786;0.357452632;38.53481837;1;0.771369403;0.279757064
67;18;26;0.03355607;0.256889404;-4.06511523;164.7;839.8390076;28353.56563;0.656950673;43.94587221;0.9;0.490222737;0.328681583
68;11;26;0.200574741;0.350574741;-6.083621109;30;374.0847535;26403.68208;0.500278423;36.94299521;0.2;0.517241407;0.721890493
69;12;33;0.055666599;0.295666599;-7.648998587;47.4;450.108757;34167.86113;0.27574177;44.79658191;0.2;0.478999933;0.439212232
70;26;15;0.13866487;0.37866487;1.045313575;142.8;672.193991;24139.146;0.249206762;41.27815098;0.7;0.561998204;0.441090042
71;13;25;0.093449323;0.316782657;-5.253058545;84;434.4102183;18042.49863;0.532729534;38.38943938;0.5;0.55011599;0.498086342
72;20;21;0.205758278;0.429091611;-2.662424945;170.1;805.1897663;25938.4148;0.614324265;40.74615159;0.9;0.662424945;0.385475511
73;10;28;0.21714958;0.440482913;-9.045359098;72;332.7371137;14294.8578;0.654709644;37.88958752;0.6;0.673816246;0.434951727
74;0;29;0.001;0.006760664;-0.19605927;39.6;515.0288979;22648.18097;0.576875679;29.21212391;0.2;0.240093998;0.365222649
75;6;32;0.181245758;0.397912424;-10.99572303;33;681.1345775;33257.84085;0.623112375;38.4261659;0.2;0.581245758;0.648908978
76;16;6;0.230653223;0.470653223;2.786532232;143.1;806.641774;14049.93828;0.281384301;21.51157695;0.9;0.653986557;0.441866448
77;16;27;0.001;0.062004062;-1.170077186;133.2;575.5267792;23172.70744;0.516611817;42.94192879;0.6;0.295337396;0.441320583
78;34;13;0.196523604;0.346523604;4.726995681;167.4;757.3898396;29168.01525;0.603581163;46.91319485;0.9;0.513190271;0.714753375
79;20;18;0.27029905;0.486965717;-1.192735232;108;475.3103216;18154.50478;0.474305095;37.5679972;0.6;0.67029905;0.607233881
80;30;20;0.001;0.089852687;-0.434263437;139.2;533.9191931;24411.57049;0.462869585;50.49754954;0.8;0.323186021;0.508246987
81;25;8;0.10338577;0.25338577;2.432558094;156;554.3011252;16923.35899;0.512544003;33.22959525;0.8;0.420052437;0.769594672
82;19;25;0.198603819;0.371937152;-3.87828958;31.8;674.3110968;39083.62276;0.091333255;44.10684956;0.2;0.538603819;0.505660032
83;16;27;0.001;0.144571932;-2.738866704;117;369.3726952;18001.50234;0.428952167;42.80006399;0.6;0.377905265;0.343578693
84;12;8;0.065297213;0.288630547;-0.185477814;165;625.7265312;10509.77538;0.717114076;20.10420267;1;0.52196388;0.581701878
85;8;2;0.253475319;0.403475319;1.820851913;162;362.7434282;3864.208168;0.509498189;9.940928384;0.9;0.570141986;0.763699989
86;10;23;0.157529835;0.307529835;-4.74788786;36.6;444.1821941;24754.31417;0.575963991;32.66046044;0.2;0.474196502;0.816802237
87;6;14;0.215808165;0.439141498;-4.183131985;126;367.3043963;7944.052605;0.596447038;20.07481241;0.7;0.672474831;0.342239675
88;3;25;0.001;0.076979074;-1.807508247;45.6;712.1279635;24876.8186;0.619003101;28.05103825;0.2;0.310312408;0.57409993
89;6;37;0.001;0.068553881;-2.32783194;73.2;205.1281398;16773.98493;0.704802938;42.85177526;0.4;0.301887214;0.51055817
90;15;5;0.001;0.097896552;0.252241381;150;85.78444954;4163.06404;0.303640211;20.38123702;1;0.331229886;0.366736799
91;29;5;0.02259957;0.255932904;2.759056353;110.4;932.8451707;24839.87016;0.292025789;34.26734813;0.8;0.389266237;0.687681241
92;0;42;0.001;0.201920547;-8.480662977;55.8;352.4935864;22419.55811;0.729475501;41.53617837;0.3;0.43525388;0.243947833
93;26;12;0.303432957;0.470099624;4.414728068;56.4;454.2188703;20304.3173;0.071355668;37.53186973;0.4;0.586766291;0.656801837
94;20;26;0.309973524;0.533306858;-5.43317448;95.4;698.9230067;27367.65959;0.42901211;46.1089375;0.6;0.766640191;0.44840346
95;7;32;0.065632767;0.2889661;-8.00581917;151.2;894.6305977;26577.69994;0.671532579;39.10495055;0.7;0.522299433;0.23003155
96;0;43;0.159420155;0.382753488;-16.4584;85.5;563.9280551;56989.21828;0.717442733;43.0265151;0.1;0.616086822;0.592935081
97;13;44;0.001;0.214084116;-8.021654358;46.8;242.2029062;27540.31243;0.406225767;57.04985965;0.3;0.44741745;0.420972076
98;18;21;0.115433336;0.338766669;-3.026300007;115.2;584.9680362;21074.03481;0.484269268;38.80476012;0.6;0.572100002;0.528628754
99;12;22;0.001;0.001;-0.01;67.2;360.0719693;16198.3658;0.459134242;34.14301748;0.4;0.127340424;0.553930784
100;11;34;0.001640527;0.224973861;-6.402732131;70.8;241.849618;18387.36839;0.488284706;44.62599505;0.4;0.458307194;0.434366931
101;4;22;0.001;0.107829913;-2.154598259;84;299.0528336;31138.34013;0.407200052;26.06792688;0.1;0.341163246;0.521407135
102;13;8;0.001036074;0.224369407;-0.329819632;126;610.4699251;12005.01563;0.344200399;21.40030673;0.6;0.45770274;0.584476431
103;0;38;0.443183945;0.666517278;-25.32765656;36;478.0340145;28626.39089;0.742854407;37.71948922;0.2;0.899850611;0.560809596
104;1;24;0.001;0.065579937;-1.540628522;87;455.8062176;11833.87811;0.701410084;25.03524808;0.5;0.29891327;0.241449871
105;18;24;0.153684689;0.377018023;-4.272108136;129.6;658.3672987;22848.79202;0.537036253;41.82713858;0.8;0.610351356;0.324798378
106;7;50;0.31270487;0.536038203;-23.83130939;87;718.4592578;80290.56654;0.390244617;56.81290085;0.1;0.769371536;0.451405328
107;35;11;0.224202061;0.374202061;6.355849472;165.6;62.57883199;10281.60035;0.471670166;46.19203858;0.8;0.540868728;0.746239375
108;16;3;0.076147173;0.226147173;1.73991325;194.4;741.6855248;11997.42303;0.530471424;19.4900355;0.9;0.39281384;0.754476864
109;0;52;0.211702431;0.435035765;-22.62185977;79.5;44.11113269;55422.23543;0.433545338;52.20834598;0.1;0.668369098;0.256770008
110;7;6;0.182929729;0.406263062;-0.375403604;143.1;420.2920733;5254.171964;0.617555247;12.59698881;0.9;0.639596396;0.490779571
111;4;28;0.001;0.056039244;-1.455020332;43.2;651.761484;27451.82135;0.647855185;32.07359374;0.2;0.239372577;0.640525467
112;13;21;0.109316893;0.325983559;-4.016201807;85.2;362.4297147;16429.51794;0.461063601;33.698778;0.4;0.509316893;0.613117869
113;37;7;0.079956808;0.319956808;5.158704226;171;646.6096033;24283.12679;0.283378553;44.123711;1;0.503290141;0.460192557
114;8;30;0.001;0.089114419;-2.312974899;81;567.8376729;50760.88721;0.569535431;37.97853375;0.1;0.255781086;0.746411213
115;40;1;0.549318501;0.649318501;23.32342154;156;879.1766798;29637.8502;0.148925008;40.90275891;0.8;0.749318501;0.721860971
116;28;3;0.188582516;0.405249183;7.097896245;210;520.4648389;15185.79676;0.351736622;30.7096482;1;0.588582516;0.641994818
117;9;8;0.026123154;0.249456487;-0.755543513;175.5;706.58925;9929.310648;0.659886828;17.21746455;0.9;0.48278982;0.468489635
118;13;30;0.210713391;0.360713391;-7.107127647;42;458.7535238;33059.79231;0.573911832;43.28733414;0.2;0.527380058;0.810184349
119;14;26;0.001;0.2018076;-3.827344391;105;416.4680899;18989.84468;0.504740715;40.4445686;0.5;0.435140933;0.478458014
120;5;39;0.094974917;0.31830825;-11.38081383;48.6;115.1690243;18270.28747;0.515456159;43.9137399;0.3;0.551641583;0.359131301
121;17;7;0.166997275;0.400330608;2.019972751;111.6;576.936496;13148.75123;0.207635052;23.95399933;0.6;0.533663942;0.606746093
122;0;31;0.126927946;0.350261279;-10.85809965;73.5;631.3341929;42181.2815;0.698875652;31.25635151;0.1;0.583594612;0.499536599
123;13;7;0.281465226;0.431465226;1.613791359;93;467.4160146;10163.5616;0.411898518;20.05712716;0.5;0.598131893;0.800769325
124;13;18;0.464721353;0.68138802;-4.815273433;79.5;508.1903631;15947.28695;0.534826452;30.96569739;0.5;0.864721353;0.639155205
125;11;14;0.155361127;0.372027794;-2.307750049;120.6;662.5706215;14590.88243;0.610165445;24.73422031;0.6;0.555361127;0.654126407
126;4;29;0.001;0.061249897;-1.651747232;40.5;354.3197978;17634.21623;0.541741822;32.91263901;0.3;0.294583231;0.404524497
127;19;10;0.333074649;0.556407982;2.886005173;146.4;986.3902415;21951.39729;0.377514438;29.36033569;0.8;0.789741316;0.490165746
128;2;28;0.001;0.185561368;-5.009156928;61.2;347.0599854;16028.31868;0.574313646;29.51722172;0.3;0.418894701;0.365960166
129;4;7;0.254156905;0.477490238;-1.879137381;91.5;377.6443391;4945.48877;0.426802786;11.20211368;0.5;0.710823571;0.473528635
130;10;19;0.052344916;0.275678249;-3.597770911;122.4;673.7829528;17075.32781;0.589616425;29.41587783;0.6;0.509011583;0.442876579
131;4;36;0.269427664;0.492760997;-16.21501857;90;482.2449727;21585.2046;0.595468164;39.84873064;0.4;0.72609433;0.338196613
132;10;22;0.001;0.110856282;-1.879556794;81;550.1005428;17133.17794;0.546611131;32.44846786;0.5;0.344189615;0.467829659
133;11;28;0.26565372;0.488987054;-9.541113243;88.5;349.5141479;16702.61694;0.568047458;39.25560803;0.5;0.722320387;0.470365417
134;20;23;0.001;0.148522859;-1.920797166;67.2;392.1084719;21252.72876;0.299515568;42.53010175;0.4;0.331856192;0.551971191
135;32;24;0.024310223;0.24097689;-1.538851548;128.1;759.0743361;35198.43539;0.581863718;56.27031645;0.7;0.424310223;0.68455307
136;25;28;0.181379193;0.431379193;-4.419137578;124.2;841.462088;33552.07598;0.831319947;52.88252959;0.9;0.648045859;0.604651727
137;3;8;0.16934629;0.386012956;-2.255064782;91.5;500.4699528;5579.981704;0.735829912;10.92254116;0.5;0.56934629;0.626730097
138;15;40;0.001;0.070760482;-2.292215658;82.8;378.3196335;26800.73278;0.528933731;54.51177417;0.4;0.304093815;0.508347943
139;11;25;0.337519647;0.554186314;-8.950275056;33.6;693.2229006;32056.51656;0.407709439;36.17040572;0.2;0.737519647;0.621810236
140;32;18;0.012313846;0.235647179;-0.274272825;213;846.7226;33641.26166;0.659452073;49.54106256;1;0.468980512;0.561283685
141;20;20;0.02999916;0.246665827;-2.166666667;102;-68.40996657;8192.471795;0.479935584;40.24348021;0.5;0.42999916;0.670481595
142;9;33;0.001;0.197244818;-5.616977299;97.2;663.0374396;23599.71272;0.643908107;42.2513962;0.6;0.430578151;0.328762471
143;5;14;0.001;0.001;-0.009;45.9;233.2088052;9214.761187;0.611820819;19.3729036;0.3;0.105784538;0.656446782
144;19;16;0.001;0.066606039;-0.423439254;156;696.6289525;20400.53367;0.700888022;34.74986595;0.8;0.249939372;0.652549304
145;24;13;0.066565968;0.289899302;0.508892318;120;760.8754625;22712.43349;0.451136589;37.1008884;0.8;0.523232635;0.55966551
146;25;13;0.347788951;0.497788951;4.098467414;122.4;390.0640633;16672.21126;0.401185388;37.51166318;0.6;0.664455618;0.748967671
147;7;44;0.244716906;0.46805024;-18.09952553;72;342.8171613;20989.92401;0.610244035;51.00160691;0.5;0.701383573;0.294504777
148;27;16;0.393092923;0.543092923;3.949022151;72;497.015748;24236.11591;0.336998441;42.66019671;0.4;0.70975959;0.823662169
149;29;9;0.008323008;0.191656341;1.174793487;183;899.3295355;26704.12559;0.780135368;38.08519844;1;0.391656341;0.853710028
150;6;22;0.042402776;0.265736109;-4.921777747;66;259.5490479;11781.19656;0.450520163;28.39259242;0.4;0.499069443;0.343265237
151;3;43;0.041044558;0.264377892;-10.91011566;55.8;293.1974569;23435.00576;0.522315713;45.98223062;0.3;0.497711225;0.300325722
152;2;39;0.001;0.208745587;-7.931332296;75.6;255.2123349;17078.0525;0.750430031;41.0362262;0.4;0.475412253;0.429805069
153;6;45;0.001;0.183496363;-7.703847259;76.5;532.6153228;25979.18518;0.539951115;50.63803979;0.5;0.416829697;0.210873899
154;0;46;0.183195398;0.406528731;-18.70032163;40.2;577.7845834;37102.91127;0.742924287;45.7785317;0.2;0.639862064;0.332906333
155;11;16;0.001;0.132594682;-1.386744156;67.2;349.480356;12781.23309;0.370904338;27.21949117;0.4;0.365928015;0.546575675
156;15;17;0.001;0.222738242;-2.108513303;135;607.7742432;16189.65931;0.404778522;31.68062738;0.9;0.489404909;0.185993014
157;23;14;0.001;0.116982949;-0.280957374;134.4;821.2789102;24186.34476;0.62572441;37.48854442;0.8;0.300316283;0.677562547
158;8;20;0.021980831;0.245314164;-3.837103305;103.5;546.4272848;15113.01701;0.613268596;28.06253867;0.5;0.478647498;0.516535774
159;3;20;0.090364561;0.313697895;-5.667864209;36;767.9644264;21235.98291;0.473134749;23.44261069;0.2;0.547031228;0.431190258
160;6;31;0.330264802;0.553598135;-14.50995337;38.4;597.5460466;30605.00241;0.501751544;36.86432203;0.2;0.786931468;0.524123185
161;20;15;0.091584895;0.308251562;-0.625408859;76.5;480.7361132;17703.51041;0.317210705;35.08894075;0.5;0.491584895;0.629842928
162;6;28;0.086995869;0.303662536;-7.330575795;34.8;448.0901497;25664.78604;0.578407863;34.31225176;0.2;0.486995869;0.608344246
163;29;14;0.10637548;0.329708813;1.707298862;142.8;714.710834;26454.17762;0.334026983;43.06104539;0.7;0.563042146;0.566814406
164;3;14;0.227216315;0.377216315;-4.374379466;25.2;646.0693476;14462.33958;0.670100591;17.05500823;0.2;0.543882982;0.752723576
165;3;17;0.045426298;0.268759631;-4.097634832;33;584.3406073;16337.25442;0.460469447;19.92409124;0.2;0.502092964;0.441925513
166;12;20;0.299384155;0.522717488;-5.521739903;126;609.2646531;17046.35305;0.579530662;32.42975137;0.7;0.756050821;0.392429508
167;17;23;0.276985033;0.500318366;-4.900243532;165.6;628.1532219;21708.76325;0.504274606;39.93226574;0.8;0.7336517;0.316804196
168;22;5;0.001;0.169639535;1.028837208;180.9;612.6483091;14679.87133;0.304473179;26.80786175;0.9;0.402972868;0.551061171
169;9;34;0.033879573;0.257212906;-7.435322651;43.2;464.9167103;33004.24752;0.334659259;43.2494939;0.2;0.490546239;0.441684587
170;14;18;0.07328495;0.22328495;-1.943139798;58.8;388.8324782;15614.94079;0.533481886;31.66569721;0.4;0.389951616;0.737560648
171;1;1;0.033704573;0.257037907;-0.111666667;132.3;942.4229703;1375.575168;0.331394268;1.855816436;0.9;0.49037124;0.491159631
172;19;8;0.30079534;0.517462007;3.633748742;210;433.558772;11712.24689;0.648547308;26.92751383;1;0.70079534;0.614287306
173;39;12;0.221273524;0.437940191;7.599385145;178.2;732.3617025;31238.48985;0.452544319;50.98606323;0.9;0.621273524;0.618555301
174;28;25;0.001;0.042809452;-0.456903967;115.2;601.2236818;29290.0481;0.422136352;52.59010584;0.6;0.276142785;0.568818176
175;20;7;0.001;0.020362186;0.071086559;162;967.4090283;20068.63774;0.309232985;26.7308396;0.9;0.25369552;0.45167731
176;1;7;0.001;0.103908559;-0.674905632;27.6;710.9352716;7051.85233;0.541898117;8.02734867;0.2;0.337241892;0.443847118
177;13;37;0.058273948;0.274940615;-8.006908088;48.6;215.191989;23479.96911;0.553134186;49.93814222;0.3;0.458273948;0.619926213
178;0;26;0.001;0.1546647;-4.021282195;25.2;555.921021;20686.74626;0.665973828;26.26434597;0.2;0.421331366;0.174306546
179;19;16;0.024443434;0.247776768;-1.378336364;122.4;645.9207589;20408.43022;0.413653882;35.01441085;0.6;0.481110101;0.557422653
180;17;10;0.176171824;0.392838491;0.908202771;121.8;671.7543533;15657.27316;0.465620152;27.15416472;0.7;0.576171824;0.633632053
181;13;20;0.155054598;0.378387931;-4.100382185;123.9;425.1480547;14245.37996;0.459410145;33.43965776;0.7;0.611721265;0.307243047
182;1;2;0.056555553;0.279888887;-0.391555553;63.6;406.1481294;1374.737154;0.56811163;2.521905774;0.4;0.51322222;0.463408776
183;15;33;0.026555922;0.243222589;-6.003006602;73.5;451.1424655;22837.8064;0.68689259;47.967163;0.5;0.426555922;0.620673416
184;31;12;0.207638448;0.430971781;4.72679718;194.4;1122.29535;36381.55981;0.495764807;43.00501779;0.9;0.664305115;0.599713931
185;10;31;0.033069414;0.256402747;-6.501124357;91.5;367.1090092;17884.10052;0.492959493;40.91927285;0.5;0.48973608;0.343868335
186;6;25;0.001;0.221184293;-4.863054444;87;536.1058226;16264.78344;0.581383788;31.47956913;0.5;0.454517626;0.336706211
187;15;19;0.001;0.22208329;-2.546457833;120.6;475.5756241;16333.29435;0.516675948;33.73907668;0.6;0.455416623;0.555251585
188;25;9;0.001;0.067308964;0.248081372;199.8;703.0128196;20437.40718;0.435636069;33.90119266;0.9;0.300642297;0.550604275
189;2;30;0.077816472;0.301149806;-8.655527894;29.4;612.1712339;26277.2182;0.403766006;31.73865131;0.2;0.534483139;0.293471085
190;0;38;0.102940263;0.326273596;-12.39839665;96;406.1107515;47214.63037;0.477981463;37.67452609;0.1;0.559606929;0.295381043
191;9;38;0.311991683;0.535325017;-16.52942548;65.7;154.3639954;20903.51112;0.456987032;46.9854757;0.3;0.76865835;0.415762064
192;7;23;0.001;0.008832774;-0.168739085;64.8;399.9234748;14852.66254;0.546988484;30.4450295;0.4;0.242166107;0.483487648
193;6;26;0.194402554;0.417735888;-9.024717754;69.6;376.4670808;15323.49735;0.636960438;31.90861497;0.4;0.651069221;0.515558492
194;25;23;0.178065506;0.40139884;-1.988868987;159.3;594.8780038;24620.85957;0.58370144;48.22678094;0.9;0.634732173;0.398772676
195;13;17;0.001;0.18872425;-1.975104628;56.7;237.0359515;14714.32629;0.257658877;30.15628829;0.3;0.372057584;0.561752622
196;9;32;0.001;0.207313939;-5.696633335;103.2;323.7610102;19284.98263;0.688525158;41.32236312;0.4;0.440647273;0.588638867
197;14;20;0.104497064;0.327830397;-3.530315716;111;587.1827098;19408.37056;0.467448855;33.91822376;0.5;0.56116373;0.533860138
198;19;11;0.001;0.105239172;-0.148358758;204;887.1567959;20784.37601;0.532578269;29.8832668;1;0.338572505;0.43500452
199;24;31;0.145578687;0.368912021;-5.262384145;121.8;743.2802913;33371.73608;0.379081367;55.04623036;0.7;0.602245354;0.298039427
200;5;21;0.125772238;0.275772238;-4.787355812;34.8;582.7678941;21342.72601;0.702687817;25.96112691;0.2;0.442438905;0.76519947
201;21;26;0.075521428;0.298854761;-3.839273807;87;285.2037265;18517.22409;0.395403412;46.70750868;0.5;0.532188095;0.533123655
202;7;9;0.255923849;0.512590515;-1.923514364;186.3;981.4842581;11766.3744;0.805522876;16.14167198;0.9;0.779257182;0.548802819
203;7;14;0.197939995;0.437939995;-3.905579968;52.2;294.7120265;10722.73637;0.292791787;20.65869622;0.3;0.621273329;0.463673097
